Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_INTJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_form_dist_Fin	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_Plur+	verbs_num_pers_dist_Sing+	aux_tense_dist_Past	aux_tense_dist_Pres	aux_form_dist_Fin	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_Plur+	aux_num_pers_dist_Sing+	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound:prt	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_expl	dep_dist_expl:pv	dep_dist_fixed	dep_dist_flat	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nmod:poss	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:agent	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3	subordinate_dist_4	subordinate_dist_5
train_sentences_1.conllu	1	28	28.0	4.0	10.714285714285714	21.428571428571427	3.5714285714285716	0	0	17.857142857142858	0	14.285714285714286	0	10.714285714285714	0	10.714285714285714	3.5714285714285716	0	7.142857142857143	0	0.4	100.0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	2.0	100.0	4.5	0	0	0	0	50.0	50.0	0	4.0	14.0	10.0	3.375	10	1.0	1	100.0	0	0	50.0	50.0	50.0	50.0	0	0	3.5714285714285716	0	7.142857142857143	0	0	0	21.428571428571427	0	0	0	0	0	0	17.857142857142858	0	0	0	0	0	3.5714285714285716	3.5714285714285716	0	7.142857142857143	0	0	7.142857142857143	14.285714285714286	0	0	10.714285714285714	3.5714285714285716	0	50.0	50.0	0.0	100.0	1.0	100.0	0	0	0	0
train_sentences_2.conllu	1	19	19.0	4.2	0	15.789473684210526	15.789473684210526	5.2631578947368425	0	0	0	0	0	26.31578947368421	5.2631578947368425	21.05263157894737	0	0	10.526315789473685	0	0.4	50.0	50.0	100.0	0	0	0	100.0	100.0	0	100.0	0	0	0	100.0	3.0	100.0	4.0	0	0	0	50.0	0	50.0	0	4.0	6.333333333333333	14.0	4.642857142857143	14	0	0	0	0	0	50.0	50.0	25.0	75.0	0	0	5.2631578947368425	10.526315789473685	0	0	0	0	10.526315789473685	0	0	0	0	5.2631578947368425	0	0	0	0	0	0	0	5.2631578947368425	0	0	21.05263157894737	0	0	10.526315789473685	5.2631578947368425	0	0	21.05263157894737	5.2631578947368425	0	33.333333333333336	66.66666666666667	100.0	0.0	2.0	0	100.0	0	0	0
train_sentences_3.conllu	1	9	9.0	3.4285714285714284	0	22.22222222222222	0	0	0	22.22222222222222	11.11111111111111	11.11111111111111	0	0	0	22.22222222222222	0	0	11.11111111111111	0	0.2857142857142857	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	2.0	9.0	7.0	3.1666666666666665	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.11111111111111	0	0	0	0	0	0	11.11111111111111	0	0	33.333333333333336	0	0	0	0	0	0	0	0	0	0	0	11.11111111111111	22.22222222222222	11.11111111111111	0	100.0	0.0	0	0	0	0	0	0	0	0
train_sentences_4.conllu	1	11	11.0	4.0	0	0	0	27.272727272727273	0	9.090909090909092	0	0	0	18.181818181818183	0	36.36363636363637	0	0	9.090909090909092	0	0.14285714285714285	100.0	0	100.0	0	0	0	100.0	100.0	0	33.333333333333336	66.66666666666667	0	0	100.0	1.0	100.0	2.0	0	0	100.0	0	0	0	0	2.0	11.0	6.0	2.8333333333333335	6	0	0	0	0	0	100.0	0.0	50.0	50.0	0	0	0	0	0	0	18.181818181818183	0	0	0	0	0	0	9.090909090909092	0	0	0	0	0	0	0	0	0	0	18.181818181818183	0	0	9.090909090909092	0	0	0	36.36363636363637	9.090909090909092	0	100.0	0.0	0	0	0	0	0	0	0	0
train_sentences_5.conllu	1	8	8.0	3.857142857142857	0	0	25.0	0	12.5	0	0	0	0	12.5	12.5	12.5	0	0	25.0	0	0.7142857142857143	0	100.0	50.0	50.0	0	100.0	0	0	0	0	0	0	0	0	2.0	100.0	2.0	0	0	100.0	0	0	0	0	3.0	4.0	3.0	2.0	3	0	0	0	0	0	0	0	100.0	0.0	0	0	0	25.0	0	0	0	0	0	12.5	0	0	12.5	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	0	0	0	0	12.5	12.5	12.5	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0	0
train_sentences_6.conllu	1	14	14.0	3.8461538461538463	14.285714285714286	7.142857142857143	7.142857142857143	7.142857142857143	7.142857142857143	7.142857142857143	0	7.142857142857143	7.142857142857143	14.285714285714286	0	7.142857142857143	7.142857142857143	0	7.142857142857143	0	0.38461538461538464	100.0	0	100.0	0	0	0	100.0	100.0	0	100.0	0	0	0	100.0	2.0	100.0	3.0	0	0	0	100.0	0	0	0	5.0	7.0	10.0	3.6666666666666665	10	0	0	0	0	0	0	0	100.0	0.0	0	0	0	7.142857142857143	0	0	0	0	7.142857142857143	7.142857142857143	7.142857142857143	0	7.142857142857143	7.142857142857143	0	7.142857142857143	0	0	0	0	0	7.142857142857143	7.142857142857143	0	14.285714285714286	0	0	0	7.142857142857143	0	0	7.142857142857143	7.142857142857143	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0	0
train_sentences_7.conllu	1	12	12.0	6.0	16.666666666666668	0	16.666666666666668	8.333333333333334	0	8.333333333333334	0	16.666666666666668	0	0	8.333333333333334	8.333333333333334	8.333333333333334	0	8.333333333333334	0	0.7272727272727273	0	0	0	0	100.0	0	0	0	100.0	100.0	0	0	0	100.0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	3.0	12.0	10.0	3.5	10	0	0	0	0	0	100.0	0.0	100.0	0.0	0	0	0	25.0	8.333333333333334	8.333333333333334	8.333333333333334	0	0	0	0	0	0	0	0	8.333333333333334	0	0	0	0	0	8.333333333333334	0	0	8.333333333333334	0	0	8.333333333333334	0	0	0	8.333333333333334	8.333333333333334	0	100.0	0.0	0	0	0	0	0	0	0	0
train_sentences_8.conllu	1	19	19.0	3.7058823529411766	10.526315789473685	10.526315789473685	0	10.526315789473685	5.2631578947368425	0	0	10.526315789473685	0	26.31578947368421	0	10.526315789473685	5.2631578947368425	0	10.526315789473685	0	0.35294117647058826	0	0	0	0	100.0	0	0	50.0	50.0	100.0	0	0	0	100.0	2.0	100.0	4.5	0	0	0	0	50.0	50.0	0	4.0	9.5	10.0	3.4375	10	1.0	1	100.0	0	0	100.0	0.0	100.0	0.0	0	0	5.2631578947368425	10.526315789473685	0	0	10.526315789473685	0	10.526315789473685	0	0	0	0	0	0	0	0	0	0	0	5.2631578947368425	10.526315789473685	5.2631578947368425	0	10.526315789473685	0	0	5.2631578947368425	5.2631578947368425	0	5.2631578947368425	10.526315789473685	5.2631578947368425	0	100.0	0.0	0	0	0	0	0	0	0	0
train_sentences_9.conllu	1	16	16.0	5.8	12.5	6.25	6.25	0	6.25	6.25	0	12.5	0	18.75	0	6.25	6.25	0	18.75	0	0.5333333333333333	0	100.0	66.66666666666667	0	33.333333333333336	0	100.0	0	0	0	0	0	0	0	3.0	100.0	2.3333333333333335	33.333333333333336	0	0	33.333333333333336	33.333333333333336	0	0	5.0	5.333333333333333	8.0	3.2142857142857144	8	0	0	0	0	0	100.0	0.0	50.0	50.0	0	0	0	6.25	6.25	0	0	0	6.25	6.25	6.25	0	6.25	0	0	6.25	0	0	0	0	0	6.25	6.25	6.25	12.5	0	0	6.25	6.25	0	0	6.25	6.25	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0	0
train_sentences_10.conllu	1	25	25.0	4.0	4.0	12.0	20.0	0	0	12.0	0	16.0	0	8.0	0	8.0	4.0	0	16.0	0	0.6086956521739131	100.0	0	50.0	25.0	25.0	0	100.0	0	0	0	0	0	0	0	5.0	100.0	2.75	25.0	0	25.0	25.0	0	0	25.0	5.0	5.0	9.0	3.727272727272727	9	0	0	0	0	0	50.0	50.0	66.66666666666667	33.333333333333336	4.0	0	0	20.0	0	0	0	0	4.0	0	0	4.0	0	4.0	4.0	12.0	0	0	4.0	0	0	8.0	0	0	8.0	0	0	8.0	4.0	0	0	8.0	4.0	4.0	25.0	75.0	66.66666666666667	33.333333333333336	1.5	50.0	50.0	0	0	0
