Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_INTJ	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_+	verbs_num_pers_dist_Sing+	verbs_num_pers_dist_Sing+1	verbs_num_pers_dist_Sing+3	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Imp	aux_mood_dist_Ind	aux_form_dist_Fin	aux_form_dist_Ger	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_+	aux_num_pers_dist_Sing+1	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	prep_dist_4	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_cc:preconj	dep_dist_ccomp	dep_dist_compound	dep_dist_compound:prt	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_det:predet	dep_dist_discourse	dep_dist_expl	dep_dist_fixed	dep_dist_flat	dep_dist_goeswith	dep_dist_iobj	dep_dist_list	dep_dist_mark	dep_dist_nmod	dep_dist_nmod:npmod	dep_dist_nmod:poss	dep_dist_nmod:tmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:npmod	dep_dist_obl:tmod	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_vocative	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3	subordinate_dist_4	subordinate_dist_5
train_sents_1.conllu	1	29	29.0	4.8	3.4482758620689653	6.896551724137931	6.896551724137931	3.4482758620689653	0	10.344827586206897	0	13.793103448275861	0	0	3.4482758620689653	10.344827586206897	31.03448275862069	0	0	10.344827586206897	0	0.65	50.0	50.0	0	100.0	33.333333333333336	33.333333333333336	0	33.333333333333336	100.0	0	0	0	0	100.0	0	100.0	100.0	0	0	0	0	0	100.0	3.0	100.0	3.0	0	0	33.333333333333336	33.333333333333336	33.333333333333336	0	0	4.0	9.666666666666666	13.0	3.0	13	1.0	1	100.0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	6.896551724137931	3.4482758620689653	0	3.4482758620689653	0	6.896551724137931	0	0	6.896551724137931	0	0	0	0	0	10.344827586206897	0	0	0	0	3.4482758620689653	0	0	0	0	3.4482758620689653	0	0	0	10.344827586206897	0	0	6.896551724137931	3.4482758620689653	0	0	0	31.03448275862069	3.4482758620689653	0	0	33.333333333333336	66.66666666666667	100.0	0.0	2.0	0	100.0	0	0	0
train_sents_2.conllu	1	20	20.0	4.473684210526316	10.0	15.0	5.0	5.0	0	15.0	0	25.0	0	0	5.0	0	5.0	0	0	15.0	0	0.5789473684210527	100.0	0	0	0	0	66.66666666666667	0	33.333333333333336	0	0	0	0	100.0	0	0	100.0	100.0	0	0	0	0	0	100.0	3.0	100.0	2.6666666666666665	0	33.333333333333336	33.333333333333336	0	0	33.333333333333336	0	6.0	6.666666666666667	4.0	2.0555555555555554	4	1.0	1	100.0	0	0	0	0.0	100.0	100.0	0.0	5.0	0	5.0	5.0	10.0	0	0	5.0	10.0	0	0	0	0	5.0	0	0	0	15.0	0	0	0	0	0	0	0	0	0	5.0	0	5.0	0	0	5.0	0	10.0	5.0	0	0	0	5.0	5.0	0	0	33.333333333333336	66.66666666666667	100.0	0.0	1.0	100.0	0	0	0	0
train_sents_3.conllu	1	7	7.0	3.0	0	14.285714285714286	0	0	0	0	0	0	0	0	42.857142857142854	0	28.571428571428573	0	0	14.285714285714286	0	0.2	0	100.0	0	100.0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	2.0	7.0	3.0	1.5	3	0	0	0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	0	0	0	0	0	14.285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285714285714286	0	0	14.285714285714286	14.285714285714286	0	0	0	28.571428571428573	14.285714285714286	0	0	100.0	0.0	0	0	0	0	0	0	0	0
train_sents_4.conllu	1	32	32.0	3.9310344827586206	3.125	9.375	3.125	6.25	3.125	3.125	0	9.375	3.125	0	25.0	0	9.375	9.375	0	15.625	0	0.3448275862068966	100.0	0	0	100.0	60.0	0	0	40.0	100.0	0	0	0	100.0	0	0	100.0	100.0	0	0	0	100.0	0	0	5.0	100.0	3.4	0	0	40.0	20.0	20.0	0	20.0	5.0	6.4	17.0	3.0357142857142856	17	0	0	0	0	0	0	0.0	100.0	100.0	0.0	0	3.125	9.375	3.125	3.125	0	6.25	0	6.25	3.125	0	0	0	3.125	3.125	0	0	3.125	0	0	0	0	0	0	0	0	9.375	0	0	3.125	0	18.75	0	3.125	3.125	6.25	0	0	0	9.375	3.125	0	0	25.0	75.0	100.0	0.0	1.0	100.0	0	0	0	0
train_sents_5.conllu	1	11	11.0	4.111111111111111	0	0	9.090909090909092	9.090909090909092	0	0	0	0	0	0	27.272727272727273	0	18.181818181818183	9.090909090909092	0	27.272727272727273	0	0.4444444444444444	33.333333333333336	66.66666666666667	0	100.0	66.66666666666667	0	0	33.333333333333336	100.0	0	0	0	0	100.0	0	100.0	100.0	0	0	0	0	0	100.0	3.0	100.0	2.3333333333333335	0	0	66.66666666666667	33.333333333333336	0	0	0	3.0	3.6666666666666665	4.0	1.875	4	0	0	0	0	0	0	0	0	100.0	0.0	0	0	0	9.090909090909092	0	0	9.090909090909092	0	0	0	0	18.181818181818183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.090909090909092	0	0	0	0	27.272727272727273	0	0	0	0	0	0	0	18.181818181818183	9.090909090909092	0	0	33.333333333333336	66.66666666666667	100.0	0.0	2.0	0	100.0	0	0	0
train_sents_6.conllu	1	10	10.0	3.75	0	0	10.0	20.0	0	0	0	0	0	0	20.0	0	20.0	10.0	0	20.0	0	0.375	100.0	0	0	0	0	0	50.0	50.0	0	0	0	0	100.0	0	0	100.0	100.0	0	0	0	50.0	0	50.0	2.0	100.0	3.0	0	0	50.0	0	50.0	0	0	2.0	5.0	4.0	2.0	4	0	0	0	0	0	0	0	0	100.0	0.0	0	0	10.0	10.0	0	0	10.0	10.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.0	0	0	0	0	10.0	10.0	0	0	0	0	0	0	20.0	10.0	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0	0
train_sents_7.conllu	1	14	14.0	4.3076923076923075	0	14.285714285714286	0	0	7.142857142857143	21.428571428571427	0	21.428571428571427	0	0	7.142857142857143	7.142857142857143	7.142857142857143	0	0	14.285714285714286	0	0.46153846153846156	100.0	0	0	100.0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	7.0	4.0	1.9166666666666667	4	1.0	1	100.0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	0	0	0	0	0	14.285714285714286	7.142857142857143	0	0	0	0	7.142857142857143	0	0	21.428571428571427	0	0	0	0	0	0	0	0	0	7.142857142857143	0	0	0	7.142857142857143	0	0	14.285714285714286	7.142857142857143	0	0	0	7.142857142857143	7.142857142857143	0	0	100.0	0.0	0	0	0	0	0	0	0	0
train_sents_8.conllu	1	17	17.0	5.066666666666666	0	11.764705882352942	5.882352941176471	0	5.882352941176471	0	5.882352941176471	17.647058823529413	0	0	11.764705882352942	11.764705882352942	11.764705882352942	0	0	17.647058823529413	0	0.6	100.0	0	0	100.0	33.333333333333336	0	33.333333333333336	33.333333333333336	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	100.0	3.3333333333333335	0	33.333333333333336	0	33.333333333333336	0	0	33.333333333333336	3.0	5.666666666666667	12.0	2.7142857142857144	12	0	0	0	0	0	0	0.0	100.0	100.0	0.0	0	0	5.882352941176471	5.882352941176471	0	0	0	0	5.882352941176471	5.882352941176471	0	0	5.882352941176471	5.882352941176471	5.882352941176471	0	0	0	0	5.882352941176471	0	0	0	0	0	0	0	0	0	11.764705882352942	0	11.764705882352942	0	0	5.882352941176471	5.882352941176471	0	0	0	11.764705882352942	5.882352941176471	0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0	0
train_sents_9.conllu	1	11	11.0	3.4	9.090909090909092	9.090909090909092	0	9.090909090909092	0	18.181818181818183	0	9.090909090909092	0	0	18.181818181818183	9.090909090909092	9.090909090909092	0	0	9.090909090909092	0	0.4	100.0	0	0	0	0	0	0	100.0	0	0	0	0	0	100.0	0	100.0	100.0	0	0	0	0	0	100.0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	2.0	11.0	4.0	2.111111111111111	4	0	0	0	0	0	0	0	0	100.0	0.0	0	0	0	0	9.090909090909092	0	9.090909090909092	0	9.090909090909092	0	0	0	0	0	0	0	0	18.181818181818183	0	0	0	0	0	0	0	0	0	0	0	9.090909090909092	0	9.090909090909092	0	0	0	18.181818181818183	0	0	0	9.090909090909092	9.090909090909092	0	0	100.0	0.0	0	0	0	0	0	0	0	0
train_sents_10.conllu	1	13	13.0	4.5	0	0	30.76923076923077	0	0	0	0	7.6923076923076925	0	0	0	15.384615384615385	38.46153846153846	0	0	7.6923076923076925	0	1.0	100.0	0	0	100.0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	2.0	13.0	7.0	3.0	7	0	0	0	0	0	0	0	0	50.0	50.0	0	0	0	30.76923076923077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6923076923076925	0	0	0	0	0	0	0	0	15.384615384615385	0	0	0	0	0	0	0	38.46153846153846	7.6923076923076925	0	0	100.0	0.0	0	0	0	0	0	0	0	0
