Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_form_dist_Fin	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_Plur+	verbs_num_pers_dist_Sing+	aux_tense_dist_Past	aux_tense_dist_Pres	aux_form_dist_Fin	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_Plur+	aux_num_pers_dist_Sing+	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound:prt	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_expl	dep_dist_expl:pv	dep_dist_fixed	dep_dist_flat	dep_dist_mark	dep_dist_nmod	dep_dist_nmod:poss	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:agent	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3	subordinate_dist_4
dutch_clean_1.conllu	1	18	18.0	3.8823529411764706	11.11111111111111	16.666666666666668	0	5.555555555555555	11.11111111111111	16.666666666666668	27.77777777777778	0	0	5.555555555555555	5.555555555555555	0	0	0	0	0.47058823529411764	0	0	0	0	0	0	0	0	100.0	100.0	0	0	0	100.0	1.0	100.0	0	0	0	0	0	0	0	0	3.0	18.0	10.0	3.0625	10	1.0	1	100.0	0	0	0	0	100.0	0.0	0	0	0	0	11.11111111111111	0	0	0	16.666666666666668	11.11111111111111	0	0	11.11111111111111	5.555555555555555	0	16.666666666666668	0	0	0	0	0	5.555555555555555	0	5.555555555555555	0	0	0	5.555555555555555	0	0	5.555555555555555	5.555555555555555	0	100.0	0.0	0	0	0	0	0	0	0
dutch_clean_2.conllu	1	25	25.0	4.913043478260869	4.0	12.0	8.0	8.0	4.0	12.0	16.0	4.0	8.0	0	8.0	8.0	0	8.0	0	0.391304347826087	0	100.0	50.0	0	50.0	0	100.0	0	100.0	100.0	0	0	0	100.0	2.0	100.0	4.0	0	0	0	0	100.0	0	0	6.0	12.5	12.0	3.409090909090909	12	0	0	0	0	0	0.0	100.0	100.0	0.0	0	0	4.0	4.0	4.0	0	0	4.0	12.0	8.0	0	0	4.0	0	0	12.0	0	0	0	0	8.0	0	0	8.0	0	4.0	4.0	12.0	0	0	8.0	4.0	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
dutch_clean_3.conllu	1	16	16.0	4.642857142857143	0	6.25	6.25	0	18.75	12.5	31.25	0	0	6.25	12.5	0	0	6.25	0	0.5714285714285714	100.0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	16.0	10.0	2.1538461538461537	10	1.0	1	100.0	0	0	0.0	100.0	100.0	0.0	0	0	0	0	0	0	0	0	6.25	18.75	0	0	18.75	0	0	12.5	0	0	0	0	0	6.25	0	6.25	0	0	6.25	0	0	6.25	12.5	6.25	0	100.0	0.0	0	0	0	0	0	0	0
dutch_clean_4.conllu	1	18	18.0	4.294117647058823	5.555555555555555	27.77777777777778	0	5.555555555555555	5.555555555555555	5.555555555555555	33.333333333333336	0	5.555555555555555	0	5.555555555555555	0	0	5.555555555555555	0	0.47058823529411764	0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	100.0	0	2.0	100.0	2.0	0	0	100.0	0	0	0	0	4.0	9.0	6.0	2.0	6	1.0	3	100.0	0	0	0	0	100.0	0.0	0	0	0	0	0	0	0	0	27.77777777777778	5.555555555555555	0	0	5.555555555555555	5.555555555555555	0	5.555555555555555	0	0	0	0	0	16.666666666666668	5.555555555555555	5.555555555555555	0	0	0	11.11111111111111	0	0	5.555555555555555	5.555555555555555	0	100.0	0.0	0	0	0	0	0	0	0
dutch_clean_5.conllu	1	17	17.0	4.8125	0	17.647058823529413	5.882352941176471	5.882352941176471	5.882352941176471	11.764705882352942	17.647058823529413	0	5.882352941176471	0	5.882352941176471	5.882352941176471	0	17.647058823529413	0	0.4375	0	0	0	66.66666666666667	33.333333333333336	0	0	100.0	0	100.0	0	0	0	100.0	3.0	100.0	3.3333333333333335	0	33.333333333333336	0	0	33.333333333333336	33.333333333333336	0	3.0	5.666666666666667	7.0	2.2666666666666666	7	1.0	2	100.0	0	0	0	0	100.0	0.0	0	0	5.882352941176471	5.882352941176471	0	0	0	5.882352941176471	17.647058823529413	5.882352941176471	0	0	5.882352941176471	0	0	11.764705882352942	0	0	0	0	5.882352941176471	11.764705882352942	0	0	5.882352941176471	0	0	5.882352941176471	0	0	5.882352941176471	5.882352941176471	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
dutch_clean_6.conllu	1	33	33.0	4.862068965517241	12.121212121212121	18.181818181818183	0	0	6.0606060606060606	18.181818181818183	21.21212121212121	0	3.0303030303030303	3.0303030303030303	12.121212121212121	3.0303030303030303	0	3.0303030303030303	0	0.4482758620689655	100.0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	6.0	33.0	11.0	2.642857142857143	11	1.5	4	50.0	50.0	0	0.0	100.0	100.0	0.0	0	0	3.0303030303030303	0	3.0303030303030303	0	0	0	18.181818181818183	6.0606060606060606	0	0	6.0606060606060606	0	0	18.181818181818183	0	0	0	0	3.0303030303030303	21.21212121212121	0	3.0303030303030303	0	0	3.0303030303030303	0	0	0	12.121212121212121	3.0303030303030303	0	100.0	0.0	0	0	0	0	0	0	0
dutch_clean_7.conllu	1	26	26.0	4.7272727272727275	3.8461538461538463	11.538461538461538	11.538461538461538	3.8461538461538463	7.6923076923076925	15.384615384615385	15.384615384615385	0	0	3.8461538461538463	15.384615384615385	0	0	7.6923076923076925	3.8461538461538463	0.5	0	100.0	50.0	0	50.0	100.0	0	100.0	0	100.0	0	0	0	100.0	2.0	100.0	0.0	100.0	0	0	0	0	0	0	4.0	13.0	20.0	3.761904761904762	20	1.0	1	100.0	0	0	0	0	100.0	0.0	0	0	0	7.6923076923076925	7.6923076923076925	0	0	3.8461538461538463	11.538461538461538	7.6923076923076925	0	0	15.384615384615385	0	0	15.384615384615385	0	0	0	0	0	3.8461538461538463	0	0	3.8461538461538463	0	0	3.8461538461538463	0	0	15.384615384615385	3.8461538461538463	0	100.0	0.0	0	0	0	0	0	0	0
dutch_clean_8.conllu	1	18	18.0	5.75	5.555555555555555	11.11111111111111	5.555555555555555	0	5.555555555555555	11.11111111111111	16.666666666666668	0	11.11111111111111	5.555555555555555	11.11111111111111	0	0	16.666666666666668	0	0.5625	100.0	0	66.66666666666667	0	33.333333333333336	0	100.0	0	0	0	0	0	0	0	3.0	100.0	2.6666666666666665	0	33.333333333333336	0	33.333333333333336	33.333333333333336	0	0	3.0	6.0	6.0	2.3333333333333335	6	0	0	0	0	0	50.0	50.0	100.0	0.0	0	0	0	0	11.11111111111111	0	5.555555555555555	0	5.555555555555555	5.555555555555555	0	5.555555555555555	5.555555555555555	0	0	11.11111111111111	0	0	0	0	0	0	5.555555555555555	11.11111111111111	0	0	11.11111111111111	5.555555555555555	0	0	11.11111111111111	5.555555555555555	0	50.0	50.0	0.0	100.0	1.0	100.0	0	0	0
dutch_clean_9.conllu	1	18	18.0	7.266666666666667	11.11111111111111	5.555555555555555	0	0	16.666666666666668	5.555555555555555	33.333333333333336	0	0	5.555555555555555	16.666666666666668	0	0	5.555555555555555	0	0.6666666666666666	100.0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	1.0	100.0	2.0	0	0	100.0	0	0	0	0	4.0	18.0	11.0	3.2142857142857144	11	1.0	1	100.0	0	0	0.0	100.0	100.0	0.0	0	0	0	0	5.555555555555555	0	0	0	5.555555555555555	16.666666666666668	0	0	27.77777777777778	0	0	5.555555555555555	0	0	0	0	0	5.555555555555555	0	5.555555555555555	0	0	5.555555555555555	0	0	0	16.666666666666668	5.555555555555555	0	100.0	0.0	0	0	0	0	0	0	0
dutch_clean_10.conllu	1	19	19.0	4.705882352941177	10.526315789473685	5.2631578947368425	0	0	0	15.789473684210526	21.05263157894737	0	10.526315789473685	5.2631578947368425	10.526315789473685	10.526315789473685	0	10.526315789473685	0	0.5294117647058824	100.0	0	50.0	50.0	0	100.0	0	0	0	0	0	0	0	0	2.0	100.0	3.0	0	0	50.0	0	50.0	0	0	5.0	9.5	10.0	2.9375	10	1.0	1	100.0	0	0	50.0	50.0	100.0	0.0	0	5.2631578947368425	5.2631578947368425	0	10.526315789473685	0	0	0	5.2631578947368425	5.2631578947368425	0	0	0	0	0	15.789473684210526	0	0	0	0	5.2631578947368425	5.2631578947368425	5.2631578947368425	10.526315789473685	0	0	10.526315789473685	0	0	0	10.526315789473685	5.2631578947368425	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
