Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_VERB	lexical_density	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Ind	verbs_mood_dist_Sub	verbs_form_dist_Fin	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+3	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Ind	aux_mood_dist_Sub	aux_form_dist_Fin	aux_form_dist_Inf	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_compound:prt	dep_dist_conj	dep_dist_cop	dep_dist_dep	dep_dist_det	dep_dist_det:poss	dep_dist_expl	dep_dist_expl:pv	dep_dist_fixed	dep_dist_flat	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nmod:poss	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2
german_clean_1.conllu	1	17	17.0	4.6875	11.764705882352942	5.882352941176471	0	5.882352941176471	11.764705882352942	23.529411764705884	29.41176470588235	0	0	0	5.882352941176471	5.882352941176471	0	0	0.5	0	0	0	0	0	0	0	0	0	0	100.0	100.0	0	100.0	0	0	100.0	1.0	100.0	0	0	0	0	0	0	0	0	3.0	17.0	6.0	2.2666666666666666	6	1.0	1	100.0	0	0	0	100.0	0.0	0	0	0	11.764705882352942	0	0	0	5.882352941176471	11.764705882352942	0	0	0	11.764705882352942	5.882352941176471	0	23.529411764705884	0	0	0	0	0	0	0	11.764705882352942	0	5.882352941176471	0	0	0	0	0	5.882352941176471	5.882352941176471	0	100.0	0.0	0	0	0	0	0
german_clean_2.conllu	1	24	24.0	5.0	16.666666666666668	12.5	0	4.166666666666667	8.333333333333334	12.5	16.666666666666668	4.166666666666667	0	8.333333333333334	0	8.333333333333334	4.166666666666667	4.166666666666667	0.4090909090909091	0	100.0	100.0	0	100.0	0	0	0	100.0	0	100.0	100.0	0	100.0	0	0	100.0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	4.0	24.0	21.0	4.380952380952381	21	1.0	2	100.0	0	0.0	100.0	100.0	0.0	0	4.166666666666667	4.166666666666667	4.166666666666667	0	0	4.166666666666667	12.5	8.333333333333334	0	0	0	8.333333333333334	0	0	12.5	0	0	0	0	0	0	4.166666666666667	8.333333333333334	0	8.333333333333334	0	4.166666666666667	4.166666666666667	0	0	8.333333333333334	4.166666666666667	0	100.0	0.0	0	0	0	0	0
german_clean_3.conllu	1	16	16.0	4.933333333333334	0	6.25	12.5	0	18.75	12.5	31.25	0	0	0	6.25	6.25	0	6.25	0.6	100.0	0	100.0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	0	1.0	100.0	5.0	0	0	0	0	0	100.0	0	4.0	16.0	11.0	3.357142857142857	11	0	0	0	0	0.0	100.0	100.0	0.0	0	0	12.5	0	0	0	0	6.25	18.75	0	0	0	18.75	0	0	12.5	0	0	0	0	0	0	0	0	0	6.25	0	0	12.5	0	0	6.25	6.25	0	100.0	0.0	0	0	0	0	0
german_clean_4.conllu	1	15	15.0	5.785714285714286	0	13.333333333333334	0	6.666666666666667	6.666666666666667	20.0	33.333333333333336	0	0	0	0	6.666666666666667	0	13.333333333333334	0.5	0	0	0	0	0	0	100.0	0	0	100.0	0	100.0	0	100.0	0	100.0	0	2.0	100.0	2.5	0	0	50.0	50.0	0	0	0	4.0	7.5	6.0	1.8461538461538463	6	0	0	0	0	0	0	100.0	0.0	0	0	0	0	0	6.666666666666667	0	13.333333333333334	6.666666666666667	0	0	0	6.666666666666667	0	0	13.333333333333334	6.666666666666667	0	0	0	0	0	0	13.333333333333334	0	6.666666666666667	0	0	0	13.333333333333334	0	6.666666666666667	6.666666666666667	0	100.0	0.0	0	0	0	0	0
german_clean_5.conllu	1	18	18.0	5.117647058823529	0	22.22222222222222	5.555555555555555	0	5.555555555555555	11.11111111111111	33.333333333333336	0	0	5.555555555555555	0	5.555555555555555	0	11.11111111111111	0.5294117647058824	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	3.0	0	0	50.0	0	50.0	0	0	4.0	9.0	12.0	2.625	12	0	0	0	0	0	0	0.0	100.0	0	0	5.555555555555555	0	0	0	5.555555555555555	22.22222222222222	5.555555555555555	0	0	0	5.555555555555555	0	0	11.11111111111111	0	0	0	0	0	0	0	5.555555555555555	0	5.555555555555555	0	0	0	16.666666666666668	0	5.555555555555555	5.555555555555555	5.555555555555555	50.0	50.0	0.0	100.0	1.0	100.0	0
german_clean_6.conllu	1	32	32.0	6.0344827586206895	12.5	18.75	0	0	6.25	21.875	25.0	0	0	0	3.125	9.375	0	3.125	0.4827586206896552	100.0	0	100.0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	0	1.0	100.0	5.0	0	0	0	0	0	100.0	0	4.0	32.0	29.0	5.035714285714286	29	1.0	3	100.0	0	0.0	100.0	100.0	0.0	0	0	3.125	9.375	0	0	0	18.75	6.25	0	0	0	3.125	0	0	21.875	0	0	0	0	0	0	0	12.5	0	3.125	0	0	3.125	6.25	0	9.375	3.125	0	100.0	0.0	0	0	0	0	0
german_clean_7.conllu	1	22	22.0	5.833333333333333	4.545454545454546	9.090909090909092	9.090909090909092	4.545454545454546	13.636363636363637	4.545454545454546	27.272727272727273	0	0	0	4.545454545454546	18.181818181818183	0	4.545454545454546	0.6111111111111112	0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	6.0	0	0	0	0	0	0	100.0	4.0	22.0	10.0	3.588235294117647	10	0	0	0	0	0	0	100.0	0.0	0	0	9.090909090909092	4.545454545454546	0	0	4.545454545454546	9.090909090909092	13.636363636363637	0	0	0	18.181818181818183	0	0	4.545454545454546	0	0	0	0	0	0	0	0	0	0	9.090909090909092	0	0	4.545454545454546	0	18.181818181818183	4.545454545454546	0	100.0	0.0	0	0	0	0	0
german_clean_8.conllu	1	17	17.0	6.2	17.647058823529413	5.882352941176471	5.882352941176471	5.882352941176471	5.882352941176471	11.764705882352942	17.647058823529413	0	0	5.882352941176471	5.882352941176471	11.764705882352942	0	5.882352941176471	0.6	100.0	0	100.0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	0	2.0	100.0	4.0	0	0	0	0	100.0	0	0	3.0	8.5	6.0	2.4285714285714284	6	1.0	1	100.0	0	0.0	100.0	100.0	0.0	0	0	5.882352941176471	11.764705882352942	0	0	0	5.882352941176471	5.882352941176471	0	0	0	5.882352941176471	5.882352941176471	0	11.764705882352942	0	0	0	0	0	0	0	11.764705882352942	0	11.764705882352942	0	0	5.882352941176471	0	0	11.764705882352942	5.882352941176471	0	100.0	0.0	0	0	0	0	0
german_clean_9.conllu	1	19	19.0	6.75	10.526315789473685	5.2631578947368425	5.2631578947368425	0	15.789473684210526	5.2631578947368425	31.57894736842105	0	0	0	5.2631578947368425	15.789473684210526	0	5.2631578947368425	0.6875	100.0	0	100.0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	19.0	16.0	4.066666666666666	16	1.0	1	100.0	0	0.0	100.0	100.0	0.0	0	0	0	5.2631578947368425	0	0	0	5.2631578947368425	15.789473684210526	0	0	5.2631578947368425	26.31578947368421	0	0	5.2631578947368425	0	0	0	0	0	0	0	5.2631578947368425	0	5.2631578947368425	0	0	5.2631578947368425	0	0	15.789473684210526	5.2631578947368425	0	100.0	0.0	0	0	0	0	0
german_clean_10.conllu	1	17	17.0	5.2	17.647058823529413	11.764705882352942	0	0	0	11.764705882352942	17.647058823529413	0	0	17.647058823529413	5.882352941176471	11.764705882352942	0	5.882352941176471	0.5333333333333333	100.0	0	100.0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	17.0	8.0	2.5714285714285716	8	1.0	1	100.0	0	0.0	100.0	100.0	0.0	0	0	5.882352941176471	5.882352941176471	5.882352941176471	0	0	11.764705882352942	0	0	0	0	0	0	0	11.764705882352942	0	0	0	0	0	0	0	11.764705882352942	0	17.647058823529413	0	0	5.882352941176471	5.882352941176471	0	11.764705882352942	5.882352941176471	0	100.0	0.0	0	0	0	0	0
