Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_SYM	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Ind	verbs_form_dist_Conv	verbs_form_dist_Fin	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+1	verbs_num_pers_dist_Sing+3	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Ind	aux_form_dist_Fin	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_csubj:pass	dep_dist_det	dep_dist_flat	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_obl:agent	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3
greek_clean_1.conllu	1	19	19.0	4.764705882352941	10.526315789473685	5.2631578947368425	0	5.2631578947368425	10.526315789473685	26.31578947368421	26.31578947368421	0	0	0	5.2631578947368425	10.526315789473685	0	0	0	0	0.47058823529411764	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	100.0	0	100.0	0.0	0.0	0	0	0	0	0	0	0	0	4.0	0	5.0	2.0625	5	0	0	0	0	0	0	0	0.0	100.0	0	0	0	0	10.526315789473685	0	0	5.2631578947368425	10.526315789473685	0	10.526315789473685	5.2631578947368425	0	0	26.31578947368421	0	0	5.2631578947368425	5.2631578947368425	0	0	0	5.2631578947368425	0	10.526315789473685	5.2631578947368425	0	0	0	0	0	0	0	0	0
greek_clean_2.conllu	1	21	21.0	4.894736842105263	4.761904761904762	14.285714285714286	9.523809523809524	0	9.523809523809524	9.523809523809524	19.047619047619047	4.761904761904762	0	0	0	9.523809523809524	4.761904761904762	0	14.285714285714286	0	0.5263157894736842	100.0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	3.0	100.0	3.3333333333333335	0	0	0	66.66666666666667	33.333333333333336	0	0	3.0	7.0	11.0	2.8333333333333335	11	0	0	0	0	0	0.0	100.0	0	0	0	0	4.761904761904762	9.523809523809524	4.761904761904762	0	0	14.285714285714286	9.523809523809524	0	4.761904761904762	0	0	0	9.523809523809524	0	4.761904761904762	0	0	0	4.761904761904762	4.761904761904762	14.285714285714286	0	9.523809523809524	4.761904761904762	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
greek_clean_3.conllu	1	19	19.0	4.833333333333333	0	5.2631578947368425	0	0	15.789473684210526	31.57894736842105	31.57894736842105	0	0	0	5.2631578947368425	5.2631578947368425	0	0	5.2631578947368425	0	0.4444444444444444	100.0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	6.0	19.0	5.0	1.8235294117647058	5	0	0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	0	0	0	0	5.2631578947368425	15.789473684210526	0	10.526315789473685	0	0	0	31.57894736842105	0	0	10.526315789473685	5.2631578947368425	0	0	5.2631578947368425	5.2631578947368425	0	5.2631578947368425	5.2631578947368425	0	100.0	0.0	0	0	0	0	0	0
greek_clean_4.conllu	1	16	16.0	5.133333333333334	6.25	12.5	0	6.25	6.25	12.5	43.75	0	0	6.25	0	6.25	0	0	0	0	0.5333333333333333	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	100.0	0	100.0	1.0	100.0	0	0	0	0	0	0	0	0	5.0	16.0	5.0	1.5714285714285714	5	1.0	1	100.0	0	0	0	0	100.0	0.0	0	0	0	0	0	0	0	12.5	6.25	0	6.25	6.25	0	0	12.5	0	0	31.25	6.25	0	0	0	6.25	0	6.25	6.25	0	100.0	0.0	0	0	0	0	0	0
greek_clean_5.conllu	1	19	19.0	4.176470588235294	0	10.526315789473685	10.526315789473685	0	5.2631578947368425	26.31578947368421	31.57894736842105	0	0	0	0	10.526315789473685	0	0	5.2631578947368425	0	0.5294117647058824	100.0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	19.0	5.0	2.0	5	1.0	1	100.0	0	0	0	0	100.0	0.0	0	0	0	5.2631578947368425	0	0	0	15.789473684210526	5.2631578947368425	0	5.2631578947368425	0	0	0	26.31578947368421	0	0	15.789473684210526	0	5.2631578947368425	0	0	5.2631578947368425	0	10.526315789473685	5.2631578947368425	0	100.0	0.0	0	0	0	0	0	0
greek_clean_6.conllu	1	34	34.0	4.32258064516129	0	17.647058823529413	5.882352941176471	0	5.882352941176471	26.470588235294116	23.529411764705884	0	0	5.882352941176471	2.9411764705882355	8.823529411764707	0	0	2.9411764705882355	0	0.3870967741935484	100.0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	7.0	34.0	14.0	2.3333333333333335	14	2.6666666666666665	3	0	33.333333333333336	66.66666666666667	0.0	100.0	100.0	0.0	0	0	0	2.9411764705882355	0	0	0	20.58823529411765	5.882352941176471	0	5.882352941176471	0	0	0	29.41176470588235	0	0	17.647058823529413	2.9411764705882355	0	0	2.9411764705882355	0	0	8.823529411764707	2.9411764705882355	0	100.0	0.0	0	0	0	0	0	0
greek_clean_7.conllu	1	25	25.0	5.0476190476190474	0	8.0	12.0	0	8.0	16.0	28.0	0	0	4.0	4.0	16.0	0	0	4.0	0	0.5714285714285714	100.0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	4.0	25.0	13.0	2.55	13	0	0	0	0	0	0	0	100.0	0.0	0	0	0	4.0	0	0	0	16.0	8.0	0	12.0	0	0	0	20.0	0	0	4.0	0	4.0	0	0	12.0	0	16.0	4.0	0	100.0	0.0	0	0	0	0	0	0
greek_clean_8.conllu	1	19	19.0	5.117647058823529	10.526315789473685	5.2631578947368425	0	5.2631578947368425	5.2631578947368425	21.05263157894737	15.789473684210526	0	5.2631578947368425	5.2631578947368425	5.2631578947368425	10.526315789473685	0	0	10.526315789473685	0	0.47058823529411764	100.0	0	100.0	0	50.0	50.0	0	0	0	100.0	100.0	0	100.0	100.0	0	100.0	2.0	100.0	3.5	0	0	0	50.0	50.0	0	0	3.0	9.5	9.0	2.3125	9	0	0	0	0	0	0.0	100.0	50.0	50.0	0	0	0	5.2631578947368425	10.526315789473685	0	5.2631578947368425	5.2631578947368425	5.2631578947368425	0	5.2631578947368425	0	0	0	21.05263157894737	0	0	5.2631578947368425	5.2631578947368425	5.2631578947368425	0	5.2631578947368425	5.2631578947368425	0	10.526315789473685	5.2631578947368425	0	100.0	0.0	0	0	0	0	0	0
greek_clean_9.conllu	1	26	26.0	5.260869565217392	3.8461538461538463	3.8461538461538463	3.8461538461538463	0	11.538461538461538	30.76923076923077	26.923076923076923	0	0	0	3.8461538461538463	11.538461538461538	0	0	3.8461538461538463	0	0.4782608695652174	100.0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	26.0	16.0	3.4545454545454546	16	0	0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	3.8461538461538463	3.8461538461538463	0	0	3.8461538461538463	11.538461538461538	0	19.23076923076923	0	0	0	30.76923076923077	0	0	0	3.8461538461538463	0	0	3.8461538461538463	3.8461538461538463	0	11.538461538461538	3.8461538461538463	0	100.0	0.0	0	0	0	0	0	0
greek_clean_10.conllu	1	20	20.0	5.055555555555555	15.0	0	0	5.0	0	15.0	10.0	0	5.0	5.0	15.0	10.0	10.0	0	10.0	0	0.5555555555555556	100.0	0	100.0	0	100.0	0	0	100.0	0	0	100.0	0	100.0	100.0	0	100.0	3.0	100.0	3.5	0	0	0	50.0	50.0	0	0	4.0	6.666666666666667	14.0	2.823529411764706	14	0	0	0	0	0	0.0	100.0	100.0	0.0	0	0	5.0	5.0	15.0	0	0	0	0	0	0	5.0	0	0	15.0	0	10.0	5.0	15.0	0	0	10.0	0	0	10.0	5.0	0	33.333333333333336	66.66666666666667	100.0	0.0	1.0	100.0	0	0
