Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Ind	verbs_form_dist_Fin	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_+	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Ind	aux_form_dist_Fin	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_+	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:cleft	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound:prt	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_expl	dep_dist_flat:foreign	dep_dist_flat:name	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2
norwegian_clean_1.conllu	1	15	15.0	5.214285714285714	13.333333333333334	13.333333333333334	0	0	13.333333333333334	0	40.0	0	0	0	0	6.666666666666667	6.666666666666667	6.666666666666667	0	0.6428571428571429	0	100.0	100.0	100.0	0	0	100.0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	15.0	3.0	1.7692307692307692	3	1.0	1	100.0	0	0	0	0.0	100.0	0	0	0	0	0	13.333333333333334	0	0	0	13.333333333333334	13.333333333333334	0	0	13.333333333333334	0	0	0	0	0	0	0	6.666666666666667	6.666666666666667	6.666666666666667	0	0	0	6.666666666666667	0	6.666666666666667	6.666666666666667	6.666666666666667	100.0	0.0	0	0	0	0	0
norwegian_clean_2.conllu	1	22	22.0	4.15	9.090909090909092	13.636363636363637	4.545454545454546	4.545454545454546	9.090909090909092	4.545454545454546	18.181818181818183	4.545454545454546	0	9.090909090909092	0	9.090909090909092	4.545454545454546	9.090909090909092	0	0.45	0	100.0	100.0	50.0	50.0	0	100.0	0	100.0	100.0	100.0	0	0	100.0	2.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	11.0	14.0	2.8421052631578947	14	0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	4.545454545454546	9.090909090909092	4.545454545454546	0	4.545454545454546	0	13.636363636363637	9.090909090909092	0	0	9.090909090909092	0	0	4.545454545454546	0	0	0	0	4.545454545454546	0	9.090909090909092	0	4.545454545454546	4.545454545454546	4.545454545454546	0	9.090909090909092	4.545454545454546	0	50.0	50.0	100.0	0.0	1.0	100.0	0
norwegian_clean_3.conllu	1	14	14.0	4.666666666666667	0	7.142857142857143	7.142857142857143	0	21.428571428571427	0	42.857142857142854	0	0	0	0	14.285714285714286	0	7.142857142857143	0	0.6666666666666666	100.0	0	100.0	100.0	0	0	100.0	0	0	0	0	0	0	0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	4.0	14.0	11.0	2.909090909090909	11	1.0	1	100.0	0	0.0	100.0	100.0	0.0	0	0	0	0	7.142857142857143	0	0	0	0	7.142857142857143	21.428571428571427	0	0	21.428571428571427	0	0	0	0	0	0	0	0	7.142857142857143	7.142857142857143	0	0	7.142857142857143	0	0	14.285714285714286	7.142857142857143	0	100.0	0.0	0	0	0	0	0
norwegian_clean_4.conllu	1	13	13.0	5.416666666666667	0	23.076923076923077	0	7.6923076923076925	7.6923076923076925	0	38.46153846153846	0	0	7.6923076923076925	0	7.6923076923076925	0	7.6923076923076925	0	0.5	0	100.0	100.0	100.0	0	0	100.0	100.0	0	100.0	100.0	0	0	100.0	2.0	100.0	2.0	0	0	100.0	0	0	0	0	5.0	6.5	5.0	1.7272727272727273	5	1.0	2	100.0	0	0	0	0.0	100.0	0	0	0	0	0	0	0	0	0	23.076923076923077	7.6923076923076925	0	0	7.6923076923076925	7.6923076923076925	0	0	0	0	0	0	0	23.076923076923077	7.6923076923076925	0	0	0	7.6923076923076925	0	7.6923076923076925	7.6923076923076925	0	50.0	50.0	100.0	0.0	1.0	100.0	0
norwegian_clean_5.conllu	1	20	20.0	3.473684210526316	5.0	20.0	5.0	10.0	5.0	0	15.0	0	0	10.0	0	5.0	10.0	10.0	5.0	0.3684210526315789	0	100.0	100.0	50.0	50.0	0	100.0	100.0	0	100.0	100.0	0	0	100.0	2.0	0.0	2.5	0	0	50.0	50.0	0	0	0	5.0	10.0	6.0	2.2222222222222223	6	0	0	0	0	0	0	100.0	0.0	5.0	0	5.0	0	5.0	0	0	10.0	0	15.0	5.0	0	5.0	5.0	0	0	0	0	0	0	0	10.0	5.0	10.0	0	0	0	10.0	0	5.0	5.0	0	0.0	100.0	100.0	0.0	1.0	100.0	0
norwegian_clean_6.conllu	1	35	35.0	4.580645161290323	5.714285714285714	8.571428571428571	0	0	2.857142857142857	0	14.285714285714286	0	0	2.857142857142857	0	11.428571428571429	0	2.857142857142857	51.42857142857143	0.25806451612903225	100.0	0	100.0	100.0	0	0	100.0	0	0	0	0	0	0	0	1.0	100.0	4.0	0	0	0	0	100.0	0	0	4.0	35.0	20.0	7.166666666666667	20	1.0	1	100.0	0	50.0	50.0	100.0	0.0	0	0	0	0	2.857142857142857	2.857142857142857	0	0	0	8.571428571428571	2.857142857142857	0	0	5.714285714285714	0	0	0	0	48.57142857142857	0	0	0	2.857142857142857	2.857142857142857	0	0	5.714285714285714	2.857142857142857	0	11.428571428571429	2.857142857142857	0	100.0	0.0	0	0	0	0	0
norwegian_clean_7.conllu	1	25	25.0	5.0	0	12.0	12.0	4.0	8.0	4.0	24.0	0	0	0	4.0	12.0	0	0	20.0	0.45454545454545453	0	0	0	0	0	0	0	100.0	0	100.0	100.0	0	0	100.0	0.0	0.0	0	0	0	0	0	0	0	0	4.0	0	20.0	3.7142857142857144	20	2.0	1	0	100.0	0	0	0	0	0	0	0	0	12.0	0	0	0	0	12.0	8.0	0	0	16.0	4.0	0	4.0	0	0	20.0	0	0	8.0	0	0	0	0	0	0	12.0	4.0	0	0	0	0	0	0	0	0
norwegian_clean_8.conllu	1	18	18.0	5.3125	16.666666666666668	11.11111111111111	5.555555555555555	5.555555555555555	5.555555555555555	11.11111111111111	22.22222222222222	0	0	5.555555555555555	0	11.11111111111111	0	5.555555555555555	0	0.5625	100.0	0	100.0	100.0	0	0	100.0	100.0	0	100.0	100.0	0	0	100.0	1.0	0.0	3.0	0	0	0	100.0	0	0	0	4.0	18.0	11.0	2.8666666666666667	11	1.0	1	100.0	0	0.0	100.0	100.0	0.0	0	0	0	0	5.555555555555555	5.555555555555555	0	5.555555555555555	0	11.11111111111111	5.555555555555555	0	0	5.555555555555555	0	0	11.11111111111111	0	0	0	0	0	11.11111111111111	11.11111111111111	0	0	5.555555555555555	5.555555555555555	0	11.11111111111111	5.555555555555555	0	0	0	0	0	0	0	0
norwegian_clean_9.conllu	1	20	20.0	6.235294117647059	10.0	15.0	0	0	20.0	0	35.0	0	0	0	0	15.0	0	5.0	0	0.5882352941176471	100.0	0	100.0	100.0	0	0	100.0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	6.0	20.0	15.0	2.75	15	1.0	1	100.0	0	0.0	100.0	100.0	0.0	0	0	0	0	0	0	0	0	0	15.0	20.0	0	0	30.0	0	0	0	0	0	0	0	0	5.0	5.0	0	0	5.0	0	0	15.0	5.0	0	100.0	0.0	0	0	0	0	0
norwegian_clean_10.conllu	1	16	16.0	5.071428571428571	18.75	0	12.5	6.25	0	12.5	25.0	0	0	0	0	12.5	6.25	6.25	0	0.7142857142857143	100.0	0	100.0	100.0	0	0	100.0	100.0	0	100.0	100.0	0	0	100.0	2.0	100.0	3.0	0	0	0	100.0	0	0	0	3.0	8.0	11.0	2.6923076923076925	11	0	0	0	0	0.0	100.0	100.0	0.0	0	0	0	6.25	6.25	18.75	0	0	0	0	0	0	0	0	6.25	0	12.5	0	0	0	0	6.25	6.25	12.5	0	0	6.25	0	0	12.5	6.25	0	50.0	50.0	100.0	0.0	1.0	100.0	0
norwegian_clean_11.conllu	1	34	34.0	6.066666666666666	2.9411764705882355	14.705882352941176	2.9411764705882355	2.9411764705882355	5.882352941176471	5.882352941176471	35.294117647058826	5.882352941176471	0	5.882352941176471	0	11.764705882352942	0	5.882352941176471	0	0.5333333333333333	0	100.0	100.0	100.0	0	0	100.0	0	100.0	100.0	100.0	0	0	100.0	3.0	100.0	2.5	0	0	50.0	50.0	0	0	0	8.0	11.333333333333334	11.0	2.413793103448276	11	1.0	3	100.0	0	0	0	100.0	0.0	0	0	5.882352941176471	0	2.9411764705882355	2.9411764705882355	2.9411764705882355	0	0	14.705882352941176	5.882352941176471	0	0	8.823529411764707	2.9411764705882355	0	5.882352941176471	0	0	0	0	0	11.764705882352942	8.823529411764707	0	5.882352941176471	0	5.882352941176471	0	11.764705882352942	2.9411764705882355	0	33.333333333333336	66.66666666666667	100.0	0.0	1.0	100.0	0
norwegian_clean_12.conllu	1	33	33.0	5.586206896551724	3.0303030303030303	18.181818181818183	3.0303030303030303	3.0303030303030303	12.121212121212121	3.0303030303030303	33.333333333333336	0	0	0	6.0606060606060606	12.121212121212121	0	6.0606060606060606	0	0.5862068965517241	0	100.0	100.0	50.0	50.0	0	100.0	0	100.0	100.0	100.0	0	0	100.0	2.0	100.0	3.0	0	0	50.0	0	50.0	0	0	6.0	16.5	10.0	2.4642857142857144	10	1.0	2	100.0	0	0.0	100.0	100.0	0.0	0	0	0	3.0303030303030303	3.0303030303030303	3.0303030303030303	0	3.0303030303030303	0	15.151515151515152	12.121212121212121	0	3.0303030303030303	15.151515151515152	0	0	3.0303030303030303	0	0	6.0606060606060606	0	0	6.0606060606060606	3.0303030303030303	0	0	3.0303030303030303	6.0606060606060606	0	12.121212121212121	3.0303030303030303	0	50.0	50.0	100.0	0.0	1.0	100.0	0
norwegian_clean_13.conllu	1	7	7.0	6.0	14.285714285714286	0	0	0	0	0	42.857142857142854	0	0	14.285714285714286	0	14.285714285714286	0	14.285714285714286	0	0.8333333333333334	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	1.0	0.0	3.0	0	0	0	100.0	0	0	0	3.0	7.0	3.0	1.8	3	0	0	0	0	50.0	50.0	100.0	0.0	0	0	14.285714285714286	0	0	14.285714285714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.285714285714286	0	0	14.285714285714286	0	0	14.285714285714286	0	0	14.285714285714286	14.285714285714286	0	0.0	100.0	100.0	0.0	1.0	100.0	0
norwegian_clean_14.conllu	1	20	20.0	4.764705882352941	0	5.0	0	5.0	0	0	10.0	0	0	0	5.0	15.0	0	5.0	55.0	0.23529411764705882	0	0	0	0	0	100.0	0	0	100.0	100.0	100.0	0	0	100.0	1.0	0.0	0.0	100.0	0	0	0	0	0	0	2.0	20.0	13.0	5.75	13	0	0	0	0	0	0	100.0	0.0	0	0	0	0	0	0	0	0	0	5.0	0	0	0	0	5.0	0	0	0	0	60.0	0	0	5.0	5.0	0	0	0	0	0	15.0	5.0	0	0.0	100.0	100.0	0.0	1.0	100.0	0
norwegian_clean_15.conllu	1	27	27.0	5.608695652173913	11.11111111111111	11.11111111111111	0	3.7037037037037037	11.11111111111111	3.7037037037037037	33.333333333333336	0	0	3.7037037037037037	0	14.814814814814815	3.7037037037037037	3.7037037037037037	0	0.5652173913043478	0	100.0	100.0	100.0	0	0	100.0	0	100.0	100.0	100.0	0	0	100.0	2.0	100.0	4.0	0	0	0	0	100.0	0	0	4.0	13.5	12.0	2.8181818181818183	12	0	0	0	0	0	0	50.0	50.0	0	0	0	0	3.7037037037037037	3.7037037037037037	0	0	0	11.11111111111111	11.11111111111111	0	0	18.51851851851852	3.7037037037037037	3.7037037037037037	3.7037037037037037	3.7037037037037037	0	0	0	3.7037037037037037	3.7037037037037037	3.7037037037037037	0	0	0	7.407407407407407	0	14.814814814814815	3.7037037037037037	0	50.0	50.0	100.0	0.0	1.0	100.0	0
norwegian_clean_16.conllu	1	25	25.0	5.181818181818182	16.0	12.0	0	8.0	12.0	4.0	24.0	0	0	0	0	12.0	4.0	8.0	0	0.5454545454545454	100.0	0	100.0	50.0	50.0	0	100.0	0	100.0	100.0	100.0	0	0	100.0	2.0	100.0	3.5	0	0	50.0	0	0	50.0	0	6.0	12.5	17.0	2.857142857142857	17	1.0	2	100.0	0	0.0	100.0	100.0	0.0	0	0	0	0	0	8.0	0	4.0	0	12.0	12.0	0	0	12.0	4.0	0	4.0	0	0	0	0	4.0	8.0	8.0	0	0	4.0	0	0	12.0	4.0	4.0	100.0	0.0	0	0	0	0	0
norwegian_clean_17.conllu	1	31	31.0	4.517241379310345	9.67741935483871	6.451612903225806	9.67741935483871	9.67741935483871	9.67741935483871	0	29.032258064516128	0	0	6.451612903225806	0	6.451612903225806	0	12.903225806451612	0	0.6551724137931034	0	100.0	100.0	50.0	50.0	0	100.0	0	100.0	100.0	100.0	0	0	100.0	4.0	100.0	2.5	0	25.0	50.0	0	0	25.0	0	5.0	7.75	17.0	2.9642857142857144	17	1.0	2	100.0	0	0.0	100.0	100.0	0.0	0	0	3.225806451612903	0	9.67741935483871	9.67741935483871	0	6.451612903225806	0	6.451612903225806	9.67741935483871	0	0	16.129032258064516	0	0	0	0	0	0	0	0	6.451612903225806	9.67741935483871	0	0	12.903225806451612	0	0	6.451612903225806	3.225806451612903	0	50.0	50.0	100.0	0.0	1.0	100.0	0
norwegian_clean_18.conllu	1	22	22.0	5.5	13.636363636363637	18.181818181818183	0	0	4.545454545454546	0	36.36363636363637	4.545454545454546	0	0	0	9.090909090909092	4.545454545454546	9.090909090909092	0	0.65	50.0	50.0	100.0	100.0	0	0	100.0	0	0	0	0	0	0	0	2.0	100.0	3.5	0	0	0	50.0	50.0	0	0	5.0	11.0	10.0	2.6842105263157894	10	1.0	2	100.0	0	0.0	100.0	100.0	0.0	4.545454545454546	0	0	0	4.545454545454546	9.090909090909092	0	0	0	18.181818181818183	4.545454545454546	0	0	4.545454545454546	0	0	0	0	0	0	0	4.545454545454546	13.636363636363637	4.545454545454546	0	4.545454545454546	4.545454545454546	9.090909090909092	0	9.090909090909092	4.545454545454546	0	100.0	0.0	0	0	0	0	0
norwegian_clean_19.conllu	1	13	13.0	8.166666666666666	0	0	0	0	0	0	0	0	0	0	0	7.6923076923076925	0	0	92.3076923076923	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	1.0	0	11.0	6.0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.61538461538461	0	0	0	0	0	0	0	0	0	0	7.6923076923076925	7.6923076923076925	0	0	0	0	0	0	0	0
norwegian_clean_20.conllu	1	11	11.0	7.3	18.181818181818183	9.090909090909092	0	0	0	0	36.36363636363637	0	0	9.090909090909092	0	9.090909090909092	0	18.181818181818183	0	0.8	0	100.0	100.0	100.0	0	0	100.0	0	0	0	0	0	0	0	2.0	100.0	3.0	0	0	50.0	0	50.0	0	0	4.0	5.5	3.0	1.5555555555555556	3	0	0	0	0	0.0	100.0	100.0	0.0	0	0	9.090909090909092	0	9.090909090909092	9.090909090909092	0	0	0	9.090909090909092	0	0	0	0	0	0	0	0	0	0	0	0	0	27.272727272727273	0	0	9.090909090909092	9.090909090909092	0	9.090909090909092	9.090909090909092	0	50.0	50.0	100.0	0.0	1.0	100.0	0
