Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PART	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_VERB	lexical_density	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Ind	verbs_form_dist_Conv	verbs_form_dist_Fin	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_Plur+	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+	verbs_num_pers_dist_Sing+3	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Ind	aux_form_dist_Fin	aux_form_dist_Inf	aux_num_pers_dist_Plur+	aux_num_pers_dist_Sing+	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_compound	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_discourse	dep_dist_fixed	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_nummod:gov	dep_dist_obj	dep_dist_obl	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3
russian_clean_1.conllu	1	13	13.0	5.545454545454546	7.6923076923076925	7.6923076923076925	0	0	15.384615384615385	7.6923076923076925	46.15384615384615	0	0	0	0	15.384615384615385	0	0	0.6363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0	0	4.0	0	7.0	2.1	7	1.0	1	100.0	0	0	0	0	0	0	0	0	0	7.6923076923076925	7.6923076923076925	0	0	7.6923076923076925	15.384615384615385	0	0	15.384615384615385	0	0	7.6923076923076925	0	0	0	0	15.384615384615385	0	0	0	0	0	0	0	15.384615384615385	7.6923076923076925	0	0	0	0	0	0	0	0	0
russian_clean_2.conllu	1	23	23.0	4.315789473684211	8.695652173913043	8.695652173913043	8.695652173913043	0	8.695652173913043	0	13.043478260869565	0	4.3478260869565215	13.043478260869565	0	17.391304347826086	4.3478260869565215	13.043478260869565	0.5263157894736842	0	100.0	100.0	0	100.0	0	0	0	33.333333333333336	0	66.66666666666667	0	0	0	0	0	0	0	0	3.0	100.0	4.0	0	0	0	33.333333333333336	33.333333333333336	33.333333333333336	0	4.0	7.666666666666667	20.0	3.2222222222222223	20	0	0	0	0	50.0	50.0	100.0	0.0	0	0	4.3478260869565215	8.695652173913043	4.3478260869565215	0	0	0	8.695652173913043	8.695652173913043	0	0	8.695652173913043	0	0	0	0	4.3478260869565215	0	4.3478260869565215	0	8.695652173913043	0	0	0	8.695652173913043	8.695652173913043	0	17.391304347826086	4.3478260869565215	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0
russian_clean_3.conllu	1	16	16.0	4.846153846153846	6.25	0	6.25	6.25	18.75	6.25	37.5	0	0	0	0	18.75	0	0	0.6153846153846154	0	0	0	0	0	0	0	0	0	0	0	100.0	0	100.0	100.0	0	100.0	0	0	1.0	100.0	0	0	0	0	0	0	0	0	4.0	16.0	10.0	2.3333333333333335	10	0	0	0	0	100.0	0.0	0.0	100.0	0	0	0	0	0	0	0	0	0	18.75	0	0	18.75	6.25	0	6.25	6.25	0	6.25	0	6.25	6.25	0	0	0	0	0	0	18.75	6.25	0	100.0	0.0	0	0	0	0	0	0
russian_clean_4.conllu	1	14	14.0	4.384615384615385	7.142857142857143	14.285714285714286	0	7.142857142857143	7.142857142857143	7.142857142857143	35.714285714285715	0	0	0	0	7.142857142857143	0	14.285714285714286	0.6153846153846154	100.0	0	0	0	0	0	100.0	0	0	0	0	100.0	0	100.0	100.0	0	100.0	0	0	2.0	100.0	3.0	0	0	50.0	0	50.0	0	0	3.0	7.0	5.0	2.1666666666666665	5	0	0	0	0	0	0	100.0	0.0	0	0	0	0	7.142857142857143	0	0	7.142857142857143	14.285714285714286	7.142857142857143	0	0	7.142857142857143	0	0	7.142857142857143	0	7.142857142857143	0	0	7.142857142857143	0	7.142857142857143	0	0	0	14.285714285714286	0	7.142857142857143	7.142857142857143	0	100.0	0.0	0	0	0	0	0	0
russian_clean_5.conllu	1	13	13.0	4.333333333333333	0	15.384615384615385	7.6923076923076925	0	7.6923076923076925	0	38.46153846153846	0	0	0	7.6923076923076925	7.6923076923076925	7.6923076923076925	7.6923076923076925	0.6666666666666666	100.0	0	100.0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	13.0	5.0	1.7272727272727273	5	1.0	1	100.0	0	100.0	0.0	0	0	7.6923076923076925	0	0	7.6923076923076925	0	0	0	0	15.384615384615385	7.6923076923076925	0	0	7.6923076923076925	0	0	0	0	0	0	7.6923076923076925	15.384615384615385	0	0	0	0	7.6923076923076925	7.6923076923076925	0	7.6923076923076925	7.6923076923076925	0	100.0	0.0	0	0	0	0	0	0
russian_clean_6.conllu	1	27	27.0	5.7272727272727275	7.407407407407407	22.22222222222222	7.407407407407407	0	3.7037037037037037	0	29.62962962962963	7.407407407407407	0	0	0	18.51851851851852	0	3.7037037037037037	0.5909090909090909	100.0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	6.0	27.0	14.0	2.761904761904762	14	1.5	2	50.0	50.0	0.0	100.0	100.0	0.0	0	0	0	3.7037037037037037	0	0	0	0	22.22222222222222	3.7037037037037037	0	0	7.407407407407407	0	0	0	0	0	0	0	11.11111111111111	3.7037037037037037	0	7.407407407407407	0	3.7037037037037037	7.407407407407407	7.407407407407407	18.51851851851852	3.7037037037037037	0	100.0	0.0	0	0	0	0	0	0
russian_clean_7.conllu	1	20	20.0	5.764705882352941	5.0	10.0	5.0	0	15.0	0	35.0	0	5.0	0	5.0	15.0	0	5.0	0.6470588235294118	100.0	0	100.0	0	100.0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	20.0	14.0	3.4375	14	0	0	0	0	100.0	0.0	0	0	0	0	0	5.0	5.0	0	0	0	10.0	15.0	0	0	20.0	0	0	0	0	10.0	5.0	0	5.0	0	0	0	0	0	5.0	0	15.0	5.0	0	100.0	0.0	0	0	0	0	0	0
russian_clean_8.conllu	1	15	15.0	4.923076923076923	13.333333333333334	6.666666666666667	0	0	6.666666666666667	13.333333333333334	20.0	0	6.666666666666667	0	6.666666666666667	13.333333333333334	0	13.333333333333334	0.6153846153846154	100.0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	2.0	100.0	3.5	0	0	0	50.0	50.0	0	0	3.0	7.5	7.0	2.0833333333333335	7	0	0	0	0	0	0	0.0	100.0	0	0	0	6.666666666666667	13.333333333333334	0	0	0	6.666666666666667	6.666666666666667	0	0	6.666666666666667	0	0	13.333333333333334	0	0	0	0	0	13.333333333333334	0	0	0	0	13.333333333333334	0	13.333333333333334	6.666666666666667	0	100.0	0.0	0	0	0	0	0	0
russian_clean_9.conllu	1	17	17.0	6.571428571428571	5.882352941176471	5.882352941176471	0	0	17.647058823529413	0	47.05882352941177	0	0	0	0	17.647058823529413	0	5.882352941176471	0.7142857142857143	100.0	0	100.0	0	100.0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	1.0	100.0	2.0	0	0	100.0	0	0	0	0	4.0	17.0	10.0	3.076923076923077	10	1.0	1	100.0	0	0.0	100.0	100.0	0.0	0	0	0	0	5.882352941176471	0	0	0	5.882352941176471	17.647058823529413	0	0	29.41176470588235	0	0	0	0	0	0	0	5.882352941176471	5.882352941176471	0	0	0	5.882352941176471	0	0	17.647058823529413	5.882352941176471	0	100.0	0.0	0	0	0	0	0	0
russian_clean_10.conllu	1	18	18.0	5.933333333333334	11.11111111111111	5.555555555555555	5.555555555555555	0	5.555555555555555	5.555555555555555	22.22222222222222	0	5.555555555555555	5.555555555555555	5.555555555555555	16.666666666666668	0	11.11111111111111	0.6666666666666666	100.0	0	100.0	0	100.0	0	0	50.0	0	50.0	0	0	0	0	0	0	0	0	0	2.0	100.0	4.0	0	0	0	0	100.0	0	0	4.0	9.0	8.0	2.0	8	0	0	0	0	0.0	100.0	50.0	50.0	0	0	0	5.555555555555555	11.11111111111111	0	0	0	5.555555555555555	5.555555555555555	0	0	5.555555555555555	0	0	5.555555555555555	0	0	5.555555555555555	0	0	11.11111111111111	0	0	0	5.555555555555555	16.666666666666668	0	16.666666666666668	5.555555555555555	0	100.0	0.0	0	0	0	0	0	0
