Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_SCONJ	upos_dist_VERB	upos_dist_X	lexical_density	verbs_tense_dist_Fut	verbs_tense_dist_Imp	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Cnd	verbs_mood_dist_Imp	verbs_mood_dist_Ind	verbs_mood_dist_Sub	verbs_form_dist_Fin	verbs_form_dist_Ger	verbs_form_dist_Inf	verbs_form_dist_Part	verbs_num_pers_dist_Plur+3	verbs_num_pers_dist_Sing+2	verbs_num_pers_dist_Sing+3	aux_tense_dist_Imp	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Cnd	aux_mood_dist_Ind	aux_mood_dist_Sub	aux_form_dist_Fin	aux_form_dist_Inf	aux_form_dist_Part	aux_num_pers_dist_Plur+3	aux_num_pers_dist_Sing+3	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	prep_dist_3	prep_dist_4	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_acl:relcl	dep_dist_advcl	dep_dist_advmod	dep_dist_amod	dep_dist_appos	dep_dist_aux	dep_dist_aux:pass	dep_dist_case	dep_dist_cc	dep_dist_ccomp	dep_dist_conj	dep_dist_cop	dep_dist_csubj	dep_dist_det	dep_dist_fixed	dep_dist_flat	dep_dist_iobj	dep_dist_mark	dep_dist_nmod	dep_dist_nsubj	dep_dist_nsubj:pass	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_parataxis	dep_dist_punct	dep_dist_root	dep_dist_xcomp	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3	subordinate_dist_5
spanish_clean_1.conllu	1	46	46.0	4.2682926829268295	6.521739130434782	10.869565217391305	4.3478260869565215	2.1739130434782608	10.869565217391305	15.217391304347826	19.565217391304348	2.1739130434782608	8.695652173913043	2.1739130434782608	10.869565217391305	0	6.521739130434782	0	0.43902439024390244	0	0	0	100.0	0	33.333333333333336	66.66666666666667	0	100.0	0	0	0	0	33.333333333333336	66.66666666666667	0	0	100.0	0	100.0	0	100.0	0	0	0	100.0	4.0	100.0	3.6666666666666665	0	0	33.333333333333336	33.333333333333336	0	0	33.333333333333336	5.0	11.5	18.0	2.95	18	1.0	2	100.0	0	0	0	66.66666666666667	33.333333333333336	100.0	0.0	0	0	2.1739130434782608	2.1739130434782608	6.521739130434782	0	0	0	10.869565217391305	8.695652173913043	0	10.869565217391305	2.1739130434782608	0	15.217391304347826	2.1739130434782608	0	2.1739130434782608	2.1739130434782608	4.3478260869565215	6.521739130434782	0	2.1739130434782608	4.3478260869565215	4.3478260869565215	0	10.869565217391305	2.1739130434782608	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
spanish_clean_2.conllu	1	21	21.0	3.6842105263157894	0	9.523809523809524	4.761904761904762	0	14.285714285714286	23.80952380952381	23.80952380952381	0	9.523809523809524	0	9.523809523809524	0	4.761904761904762	0	0.3684210526315789	0	100.0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	21.0	13.0	3.0555555555555554	13	1.0	2	100.0	0	0	0	0.0	100.0	0	0	0	0	0	4.761904761904762	0	0	0	0	9.523809523809524	14.285714285714286	0	14.285714285714286	0	0	28.571428571428573	0	0	0	0	9.523809523809524	0	0	0	4.761904761904762	0	0	9.523809523809524	4.761904761904762	0	100.0	0.0	0	0	0	0	0	0	0
spanish_clean_3.conllu	1	20	20.0	4.157894736842105	0	25.0	0	0	5.0	15.0	30.0	0	10.0	0	5.0	0	10.0	0	0.42105263157894735	0	100.0	0	0	50.0	0	50.0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	3.5	0	0	0	50.0	50.0	0	0	4.0	10.0	7.0	2.111111111111111	7	1.0	3	100.0	0	0	0	100.0	0.0	100.0	0.0	0	0	0	0	0	0	0	0	25.0	5.0	0	5.0	0	0	15.0	0	0	10.0	0	15.0	5.0	0	0	0	10.0	0	5.0	5.0	0	100.0	0.0	0	0	0	0	0	0	0
spanish_clean_4.conllu	1	25	25.0	3.782608695652174	0	24.0	4.0	0	4.0	20.0	24.0	0	12.0	0	8.0	0	4.0	0	0.34782608695652173	0	100.0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	6.0	0	0	0	0	0	0	100.0	5.0	25.0	10.0	2.3636363636363638	10	1.5	2	50.0	50.0	0	0	100.0	0.0	100.0	0.0	0	0	0	4.0	0	0	0	0	24.0	4.0	0	4.0	0	0	20.0	0	0	4.0	0	12.0	4.0	0	0	4.0	8.0	0	8.0	4.0	0	100.0	0.0	0	0	0	0	0	0	0
spanish_clean_5.conllu	1	28	28.0	4.88	0	17.857142857142858	7.142857142857143	0	7.142857142857143	25.0	25.0	0	3.5714285714285716	0	10.714285714285714	0	3.5714285714285716	0	0.4	0	100.0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	3.0	0	0	0	100.0	0	0	0	5.0	28.0	16.0	2.7083333333333335	16	1.6666666666666667	3	66.66666666666667	0	33.333333333333336	0	0.0	100.0	0	0	0	0	0	7.142857142857143	0	0	0	0	17.857142857142858	7.142857142857143	0	7.142857142857143	0	0	25.0	0	0	0	0	17.857142857142858	0	0	0	3.5714285714285716	0	0	10.714285714285714	3.5714285714285716	0	100.0	0.0	0	0	0	0	0	0	0
spanish_clean_6.conllu	1	30	30.0	4.32	3.3333333333333335	16.666666666666668	3.3333333333333335	3.3333333333333335	10.0	16.666666666666668	20.0	0	3.3333333333333335	3.3333333333333335	16.666666666666668	0	3.3333333333333335	0	0.4	0	0	100.0	0	0	0	0	0	0	0	0	100.0	0	0	0	100.0	0	0	0	100.0	0	100.0	0	0	0	100.0	1.0	100.0	5.0	0	0	0	0	0	100.0	0	5.0	30.0	16.0	2.6666666666666665	16	2.0	1	0	100.0	0	0	0	0	100.0	0.0	0	0	0	0	0	0	0	3.3333333333333335	16.666666666666668	10.0	0	13.333333333333334	0	0	16.666666666666668	3.3333333333333335	0	0	0	6.666666666666667	0	3.3333333333333335	0	0	6.666666666666667	0	16.666666666666668	3.3333333333333335	0	100.0	0.0	0	0	0	0	0	0	0
spanish_clean_7.conllu	1	22	22.0	5.0	13.636363636363637	9.090909090909092	4.545454545454546	0	4.545454545454546	13.636363636363637	18.181818181818183	0	4.545454545454546	4.545454545454546	9.090909090909092	4.545454545454546	13.636363636363637	0	0.6	0	100.0	0	0	0	0	100.0	0	66.66666666666667	0	0	33.333333333333336	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	3.0	100.0	3.3333333333333335	0	33.333333333333336	0	0	33.333333333333336	33.333333333333336	0	4.0	7.333333333333333	14.0	2.736842105263158	14	0	0	0	0	0	0	0.0	100.0	100.0	0.0	4.545454545454546	0	0	4.545454545454546	13.636363636363637	0	0	0	9.090909090909092	4.545454545454546	0	4.545454545454546	0	0	13.636363636363637	0	0	0	4.545454545454546	0	9.090909090909092	0	0	9.090909090909092	9.090909090909092	0	9.090909090909092	4.545454545454546	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
spanish_clean_8.conllu	1	25	25.0	4.590909090909091	8.0	4.0	4.0	0	12.0	28.0	28.0	0	0	0	12.0	0	4.0	0	0.5	0	100.0	0	0	0	0	100.0	0	100.0	0	0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	1.0	100.0	2.0	0	0	100.0	0	0	0	0	4.0	25.0	10.0	2.761904761904762	10	1.0	1	100.0	0	0	0	0.0	100.0	0	0	0	0	0	4.0	8.0	4.0	0	0	4.0	12.0	0	16.0	0	0	28.0	0	0	0	0	4.0	0	0	0	4.0	0	0	12.0	4.0	0	100.0	0.0	0	0	0	0	0	0	0
spanish_clean_9.conllu	1	19	19.0	5.529411764705882	5.2631578947368425	15.789473684210526	10.526315789473685	0	0	15.789473684210526	15.789473684210526	0	10.526315789473685	5.2631578947368425	10.526315789473685	0	10.526315789473685	0	0.5294117647058824	0	100.0	0	0	0	0	100.0	0	100.0	0	0	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	100.0	3.0	0	0	0	100.0	0	0	0	4.0	9.5	8.0	2.0	8	1.0	1	100.0	0	0	0	0.0	100.0	100.0	0.0	0	5.2631578947368425	0	10.526315789473685	5.2631578947368425	0	0	0	15.789473684210526	0	0	0	0	0	15.789473684210526	0	0	0	0	5.2631578947368425	10.526315789473685	0	0	5.2631578947368425	10.526315789473685	0	10.526315789473685	5.2631578947368425	0	50.0	50.0	100.0	0.0	1.0	100.0	0	0	0
spanish_clean_10.conllu	1	24	24.0	3.608695652173913	4.166666666666667	20.833333333333332	0	4.166666666666667	4.166666666666667	16.666666666666668	20.833333333333332	0	4.166666666666667	8.333333333333334	4.166666666666667	4.166666666666667	8.333333333333334	0	0.43478260869565216	0	0	0	100.0	0	0	100.0	0	50.0	0	50.0	0	0	0	100.0	0	0	100.0	0	100.0	0	100.0	0	0	0	100.0	3.0	100.0	2.0	0	50.0	0	50.0	0	0	0	6.0	8.0	6.0	2.090909090909091	6	1.0	3	100.0	0	0	0	100.0	0.0	100.0	0.0	0	4.166666666666667	0	0	4.166666666666667	0	0	0	20.833333333333332	4.166666666666667	0	4.166666666666667	4.166666666666667	0	16.666666666666668	0	0	4.166666666666667	4.166666666666667	12.5	4.166666666666667	0	0	0	4.166666666666667	0	4.166666666666667	4.166666666666667	4.166666666666667	33.333333333333336	66.66666666666667	100.0	0.0	2.0	0	100.0	0	0
