Filename	n_sentences	n_tokens	tokens_per_sent	char_per_tok	upos_dist_ADJ	upos_dist_ADP	upos_dist_ADV	upos_dist_AUX	upos_dist_CCONJ	upos_dist_DET	upos_dist_NOUN	upos_dist_NUM	upos_dist_PRON	upos_dist_PROPN	upos_dist_PUNCT	upos_dist_VERB	lexical_density	verbs_tense_dist_Fut	verbs_tense_dist_Past	verbs_tense_dist_Pres	verbs_mood_dist_Cnd	verbs_mood_dist_Gen	verbs_mood_dist_Ind	verbs_mood_dist_Pot	verbs_form_dist_Conv	verbs_form_dist_Part	verbs_form_dist_Vnoun	aux_tense_dist_Past	aux_tense_dist_Pres	aux_mood_dist_Gen	aux_mood_dist_Ind	aux_form_dist_Conv	verbal_head_per_sent	verbal_root_perc	avg_verb_edges	verb_edges_dist_0	verb_edges_dist_1	verb_edges_dist_2	verb_edges_dist_3	verb_edges_dist_4	verb_edges_dist_5	verb_edges_dist_6	avg_max_depth	avg_token_per_clause	avg_max_links_len	avg_links_len	max_links_len	avg_prepositional_chain_len	n_prepositional_chains	prep_dist_1	prep_dist_2	obj_pre	obj_post	subj_pre	subj_post	dep_dist_acl	dep_dist_advmod	dep_dist_advmod:emph	dep_dist_amod	dep_dist_case	dep_dist_cc	dep_dist_compound	dep_dist_compound:lvc	dep_dist_conj	dep_dist_cop	dep_dist_det	dep_dist_discourse	dep_dist_flat	dep_dist_mark	dep_dist_nmod	dep_dist_nmod:poss	dep_dist_nsubj	dep_dist_nummod	dep_dist_obj	dep_dist_obl	dep_dist_punct	dep_dist_root	principal_proposition_dist	subordinate_proposition_dist	subordinate_post	subordinate_pre	avg_subordinate_chain_len	subordinate_dist_1	subordinate_dist_2	subordinate_dist_3
turkish_clean_1.conllu	1	13	13.0	6.7272727272727275	7.6923076923076925	0	0	7.6923076923076925	15.384615384615385	0	38.46153846153846	0	0	15.384615384615385	15.384615384615385	0	0.7272727272727273	0	0	0	0	0	0	0	0	0	0	0	100.0	100.0	0	0	1.0	100.0	0	0	0	0	0	0	0	0	3.0	13.0	4.0	1.9	4	0	0	0	0	0	0	0	0	0	0	0	7.6923076923076925	0	15.384615384615385	0	0	15.384615384615385	7.6923076923076925	0	0	7.6923076923076925	0	0	15.384615384615385	0	0	0	7.6923076923076925	15.384615384615385	7.6923076923076925	100.0	0.0	0	0	0	0	0	0
turkish_clean_2.conllu	1	22	22.0	4.8	22.727272727272727	4.545454545454546	4.545454545454546	4.545454545454546	13.636363636363637	4.545454545454546	18.181818181818183	9.090909090909092	4.545454545454546	0	9.090909090909092	4.545454545454546	0.55	0	0	100.0	0	0	100.0	0	0	0	0	0	100.0	100.0	0	0	2.0	100.0	4.0	0	0	0	0	100.0	0	0	4.0	11.0	15.0	3.0	15	0	0	0	0	0	0	100.0	0.0	0	4.545454545454546	0	18.181818181818183	4.545454545454546	13.636363636363637	0	0	9.090909090909092	4.545454545454546	9.090909090909092	0	0	0	0	4.545454545454546	9.090909090909092	4.545454545454546	0	4.545454545454546	9.090909090909092	4.545454545454546	100.0	0.0	0	0	0	0	0	0
turkish_clean_3.conllu	1	14	14.0	6.833333333333333	0	0	0	0	21.428571428571427	0	42.857142857142854	0	0	0	14.285714285714286	21.428571428571427	0.75	0	33.333333333333336	66.66666666666667	0	0	100.0	0	0	0	100.0	0	0	0	0	0	3.0	0.0	1.0	33.333333333333336	33.333333333333336	33.333333333333336	0	0	0	0	4.0	4.666666666666667	12.0	4.636363636363637	12	0	0	0	0	100.0	0.0	0	0	7.142857142857143	0	0	0	0	21.428571428571427	0	0	35.714285714285715	0	0	0	0	0	0	7.142857142857143	0	0	7.142857142857143	0	14.285714285714286	7.142857142857143	0.0	100.0	100.0	0.0	1.0	100.0	0	0
turkish_clean_4.conllu	1	12	12.0	6.0	16.666666666666668	0	0	8.333333333333334	8.333333333333334	0	50.0	0	8.333333333333334	0	8.333333333333334	0	0.7272727272727273	0	0	0	0	0	0	0	0	0	0	100.0	0	0	100.0	0	1.0	100.0	0	0	0	0	0	0	0	0	4.0	12.0	7.0	1.9	7	0	0	0	0	100.0	0.0	0	0	0	0	0	8.333333333333334	0	8.333333333333334	0	0	8.333333333333334	8.333333333333334	0	0	0	0	8.333333333333334	16.666666666666668	0	0	8.333333333333334	16.666666666666668	8.333333333333334	8.333333333333334	100.0	0.0	0	0	0	0	0	0
turkish_clean_5.conllu	1	15	15.0	6.846153846153846	6.666666666666667	6.666666666666667	0	0	13.333333333333334	6.666666666666667	40.0	0	0	0	13.333333333333334	13.333333333333334	0.6923076923076923	0	50.0	50.0	0	0	100.0	0	0	0	100.0	0	0	0	0	0	2.0	100.0	1.5	0	50.0	50.0	0	0	0	0	6.0	7.5	12.0	2.3333333333333335	12	0	0	0	0	0	0	0	0	0	0	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	6.666666666666667	0	0	0	6.666666666666667	0	0	0	0	26.666666666666668	0	0	0	13.333333333333334	13.333333333333334	6.666666666666667	50.0	50.0	0.0	100.0	1.0	100.0	0	0
turkish_clean_6.conllu	1	24	24.0	6.684210526315789	8.333333333333334	4.166666666666667	0	0	8.333333333333334	0	41.666666666666664	8.333333333333334	0	0	20.833333333333332	8.333333333333334	0.7368421052631579	0	50.0	50.0	0	0	100.0	0	0	0	100.0	0	0	0	0	0	2.0	100.0	3.0	50.0	0	0	0	0	0	50.0	5.0	12.0	10.0	3.111111111111111	10	0	0	0	0	0	0	0	0	0	0	0	8.333333333333334	4.166666666666667	4.166666666666667	0	4.166666666666667	8.333333333333334	0	8.333333333333334	0	0	0	8.333333333333334	8.333333333333334	0	0	0	20.833333333333332	20.833333333333332	4.166666666666667	50.0	50.0	0.0	100.0	1.0	100.0	0	0
turkish_clean_7.conllu	1	20	20.0	6.117647058823529	5.0	0	0	0	15.0	5.0	40.0	0	5.0	5.0	15.0	10.0	0.7058823529411765	0	50.0	50.0	0	0	100.0	0	0	100.0	0	0	0	0	0	0	2.0	0.0	0.5	50.0	50.0	0	0	0	0	0	4.0	10.0	17.0	4.0625	17	0	0	0	0	0	0	0	0	5.0	0	0	5.0	0	15.0	5.0	5.0	20.0	0	5.0	0	5.0	0	5.0	5.0	0	0	0	5.0	15.0	5.0	0.0	100.0	50.0	50.0	1.0	100.0	0	0
turkish_clean_8.conllu	1	19	19.0	5.764705882352941	15.789473684210526	5.2631578947368425	15.789473684210526	5.2631578947368425	5.2631578947368425	0	21.05263157894737	5.2631578947368425	5.2631578947368425	0	10.526315789473685	10.526315789473685	0.7058823529411765	0	100.0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	100.0	0	3.0	100.0	2.0	50.0	0	0	0	50.0	0	0	4.0	6.333333333333333	11.0	2.625	11	0	0	0	0	100.0	0.0	100.0	0.0	0	10.526315789473685	0	15.789473684210526	5.2631578947368425	5.2631578947368425	0	5.2631578947368425	5.2631578947368425	5.2631578947368425	5.2631578947368425	0	0	0	5.2631578947368425	0	5.2631578947368425	0	5.2631578947368425	10.526315789473685	10.526315789473685	5.2631578947368425	50.0	50.0	0.0	100.0	1.0	100.0	0	0
turkish_clean_9.conllu	1	20	20.0	5.411764705882353	20.0	5.0	0	0	15.0	0	35.0	0	0	0	15.0	10.0	0.7647058823529411	0	50.0	50.0	0	0	100.0	0	0	100.0	0	0	0	0	0	0	2.0	0.0	0.0	100.0	0	0	0	0	0	0	5.0	10.0	12.0	3.5	12	0	0	0	0	100.0	0.0	0	0	0	0	0	10.0	5.0	15.0	5.0	5.0	25.0	0	0	0	0	0	5.0	5.0	0	0	5.0	0	15.0	5.0	0.0	100.0	50.0	50.0	1.0	100.0	0	0
turkish_clean_10.conllu	1	19	19.0	6.25	15.789473684210526	15.789473684210526	5.2631578947368425	5.2631578947368425	5.2631578947368425	0	21.05263157894737	0	5.2631578947368425	5.2631578947368425	15.789473684210526	5.2631578947368425	0.625	0	100.0	0	0	0	100.0	0	0	100.0	0	100.0	0	0	100.0	0	2.0	100.0	1.0	0	100.0	0	0	0	0	0	6.0	9.5	8.0	2.1333333333333333	8	0	0	0	0	100.0	0.0	100.0	0.0	5.2631578947368425	0	0	15.789473684210526	15.789473684210526	0	0	0	5.2631578947368425	5.2631578947368425	0	0	0	5.2631578947368425	5.2631578947368425	5.2631578947368425	5.2631578947368425	0	5.2631578947368425	5.2631578947368425	15.789473684210526	5.2631578947368425	50.0	50.0	0.0	100.0	1.0	100.0	0	0
